calif_software,calif_redes,calif_bd,calif_matematicas,calif_logica,tiempo_promedio,preguntas_omitidas,cambios_respuesta,racha_aciertos,semestre_actual,paso_ceneval
77.45071229516849,57.372325723591345,66.85806323415333,57.13153567082142,73.22429371500228,63.41747057493964,3,2,4.965200438291573,8,0
67.92603548243223,56.838546049090624,71.33400644335616,59.3468819251938,72.24985388803499,60.24510861263083,1,0,5.522138843191609,7,1
79.71532807151038,32.67842289265973,67.83142726745828,61.28589757175163,53.952202312917635,51.37689867165271,3,3,1.9603908013251266,8,0
92.84544784612038,59.05837654937413,76.32501656335343,78.9372292329236,76.69376332645608,59.94946678304426,0,2,0.1458099902407266,7,1
66.48769937914996,78.19092347279141,89.36614237754296,45.05565383026513,45.64875986635073,69.81683250985887,2,2,1.6464255583804475,6,0
66.4879456457623,42.063821856617686,65.74749411430554,43.0730601697468,58.18723511359507,57.476757420423205,1,4,0.0,6,0
93.68819223261087,83.87268771891067,87.00984597322096,84.7323948428595,38.013682806532884,68.39535260460548,3,4,5.673313279732072,7,1
81.51152093729362,73.77994677951808,65.61993513183735,50.747105162374034,91.37939775444222,43.26662443153906,2,3,7.8172767239797505,9,1
62.95788421097572,51.78380020452132,64.8284734500374,34.739292928458674,64.52675759082057,47.9221269770859,1,4,2.156405779048098,9,0
78.13840065378947,62.452466527918745,84.82313542011856,50.2974011580026,100.0,45.31358993452049,1,4,8.025518151820338,9,1
63.04873460781307,93.76979253753859,86.0632365360914,53.39894529511999,80.04424889779243,48.69737256415188,3,3,6.355377753867586,8,1
63.01405369644615,78.20386064310559,85.21691924115186,91.0992545545153,74.72147320026536,85.74362093412182,2,1,3.3387536755298792,9,1
73.62943407349051,65.15810578816667,59.210431101382305,78.49652424753475,59.20658458578501,74.5207758622072,2,2,3.9518320298195033,7,1
41.30079633013303,60.72170029470228,69.40858826313539,82.95041233264485,52.3047494646887,38.46153762631309,5,3,8.3464412923611,7,0
44.12623251230451,66.37896326812988,84.87586310403985,76.39947284693572,75.84457360845418,68.7499659281691,2,0,0.0,6,0
61.56568706138541,55.78825595703854,75.49850208676673,78.92487343230628,66.92728986090526,52.1883537470286,2,3,8.334258573840884,7,1
54.80753319498364,27.11450889705774,62.11568584563043,46.23835746839364,47.910945267720486,46.352308290568686,0,2,7.688061671159769,9,1
74.71370998892911,100.0,80.4998152695053,56.02795689293031,45.247123752375224,30.285210685549863,2,5,3.2323194264634045,9,1
56.37963886718184,67.79584998558923,66.42231289210235,40.20169373952902,53.61944406284624,79.43837387640488,2,1,4.721435983708933,6,0
48.81544447997062,72.16665077220567,96.53429818070654,55.790239389259334,95.31450837899345,32.722737006657226,1,0,9.8803456645257,9,1
91.98473153382331,63.957660502215646,93.5380975490191,73.68209981869482,100.0,58.96073643980251,0,1,1.0703470989883033,6,1
66.61335549270197,51.76789758695742,82.24916911626681,62.69166569624494,71.07483720963364,41.073775085502625,3,2,4.453878612633023,6,1
71.01292307031886,61.65335934292213,91.33208045723728,86.22961637920591,70.23414194361932,75.51687894139849,1,2,6.941700085728261,7,1
48.62877720679815,36.2108942805024,75.77749620148057,37.171684155455615,62.955194422557184,53.31296347372099,0,2,5.629118947135124,7,1
61.834259132122256,100.0,84.18524993250018,70.0047670139648,53.98271977535747,57.310746889593105,2,5,5.156166587416733,9,1
71.66383884564799,42.77878402839687,92.7326435436249,35.033943962613634,88.62768586410866,57.98531474139934,1,4,10.450304606628748,9,1
52.73509633866546,46.424606890750766,77.94598418153176,61.88352938347285,96.10364590845704,66.05140669871567,3,3,1.6754535099222112,8,1
75.63547027518509,57.07533432104479,71.93775394182859,74.80666845112958,54.598713712410714,60.26009527966619,4,5,1.8099296955933708,8,0
60.99041965121793,88.1853630473428,54.54453650187461,55.70994866351562,66.75742432363097,59.134536220777676,5,3,0.0,6,0
65.62459375310085,65.26116198672777,74.00239769134207,71.02253208173912,61.25200548934748,49.63196049490444,1,5,1.764004456743498,8,0
60.97440081655905,42.749555671451674,84.88107821474773,40.80535330334132,61.69641387702534,28.50541253315814,5,3,3.0047603362431983,9,0
97.78417276763406,87.57809049363212,86.34760113081155,26.72620043607234,85.78862383144794,37.62898080916289,1,4,5.959584716642726,9,1
69.79754162893099,78.15801128213866,81.05238078862092,71.14059244975606,48.320576819508176,74.3695947736129,0,2,7.879253560046143,8,1
54.13433606566149,74.69182922989614,68.50441086045312,94.88020468151466,74.9970453640446,53.88361073347404,3,5,2.108235343620943,9,1
82.33817368154783,77.88321634107513,51.278141172628914,40.07910119660216,78.92357160958798,46.71980444555041,1,1,4.571978055812154,9,1
51.68734525043467,100.0,69.05741882394318,84.44388360213591,65.86773239597271,31.8854371116391,1,4,9.187778576838069,6,1
73.13295392507133,100.0,71.34786154735258,60.86846817632822,81.3960174048016,25.607057198192955,2,2,4.437510239546369,9,1
40.60494814180336,52.639123825940686,71.24485239371982,33.28616956613848,70.21477760806175,45.93586239743603,4,3,6.556102982935659,6,0
50.07720926652354,94.22992987060074,82.42267628373509,37.369893972956746,86.25694881734168,77.76105708090515,0,4,8.36262338268309,9,1
72.95291853803685,71.8970274156602,98.82811693217808,60.315695467213004,45.166920426112185,48.85859612755363,0,3,2.2103427670143057,7,0
81.07699869993115,73.98372469047949,76.48235042209312,51.91075424151793,62.76837108489696,68.00971050482894,3,2,1.5999716161312536,9,1
72.57052421784955,34.53912503042008,72.39921853012245,33.74174046483522,66.92280285723449,47.93880341204084,1,3,9.863101218203845,9,1
68.2652757641764,61.93305622301247,71.88933824395089,26.1192143754919,27.916889232929762,72.77733392057698,3,8,6.737640322735396,6,0
65.48344456616067,50.36917537394183,76.49261720289257,43.06561344146988,51.710708996321976,52.96498396382662,2,3,1.0190771528821219,8,0
