texto,respuesta,etiqueta,area_origen
"El enfoque basado en matrices de acceso presenta la dificultad de que:
A) la matriz, si se almacena directamente, es grande y puede ser engorrosa de administrar.
B) no es capaz de expresar requisitos de protección complejos.
C) decidir si un proceso tiene acceso a un recurso es indecidible.
D) no existe una manera de expresar quién tiene derechos para cambiar la matriz de acceso en sí misma.","Respuesta: A - La opción A es correcta porque las matrices de acceso, especialmente en sistemas grandes, pueden ser inmensas si se almacenan directamente. Esto dificulta su manejo y puede afectar el rendimiento del sistema.",1,MMLU_college_computer_science
"Un entero *c* es un divisor común de dos enteros *x* e *y* si y solo si *c* es divisor de *x* y *c* es divisor de *y*. ¿Cuál de los siguientes conjuntos de enteros podría ser el conjunto de todos los divisores comunes de dos enteros?
A) {-6,-2, -1, 1, 2, 6}
B) {-6, -2, -1, 0, 1, 2, 6}
C) {-6, -3, -2, -1, 1, 2, 3, 6}
D) {-6, -3, -2, -1, 0, 1, 2, 3, 6}",Respuesta: C - La opción C es correcta porque incluye todos los divisores positivos y negativos de un número común. Los otros conjuntos omiten algunos divisores posibles.,1,MMLU_college_computer_science
"En el sistema operativo NoNicks, el tiempo requerido por una sola operación de lectura de archivos tiene cuatro componentes no superpuestos:

* Tiempo de búsqueda en disco: 25 ms
* Tiempo de latencia del disco: 8 ms
* Tiempo de transferencia de disco: 1 ms por cada 1,000 bytes
* Sobretcarga del sistema operativo: 1 ms por cada 1,000 bytes + 10 ms

En la versión 1 del sistema, la lectura de archivos recuperaba bloques de 1,000 bytes. En la versión 2, la lectura de archivos (junto con la disposición subyacente en disco) se modificó para recuperar bloques de 4,000 bytes. La relación entre el tiempo requerido para leer un archivo grande en la versión 2 y el tiempo requerido para leer el mismo archivo grande en la versión 1 es aproximadamente:
A) 1:4
B) 1:3.5
C) 1:1
D) 1.1:1","Respuesta: B - La opción B es correcta porque, al aumentar el tamaño de los bloques de lectura a 4000 bytes, se reduce la sobrecarga del sistema operativo y el tiempo de transferencia de disco por operación. Esto resulta en una reducción significativa del tiempo total de lectura.",1,MMLU_college_computer_science
"Se desea agrupar 7 puntos en 3 clusters utilizando el algoritmo de agrupamiento k-Means. Suponiendo que después de la primera iteración, los clusters C1, C2 y C3 contienen los siguientes puntos bidimensionales: C1 contiene los 2 puntos: {(0,6), (6,0)} C2 contiene los 3 puntos: {(2,2), (4,4), (6,6)} C3 contiene los 2 puntos: {(5,5), (7,7)}. ¿Cuáles son los centros de cluster calculados para estos 3 clusters?
A) C1: (3,3), C2: (4,4), C3: (6,6)
B) C1: (3,3), C2: (6,6), C3: (12,12)
C) C1: (6,6), C2: (12,12), C3: (12,12)
D) C1: (0,0), C2: (48,48), C3: (35,35)","Respuesta: A - La respuesta correcta es la opción A porque los centros de cluster se calculan como el promedio de las coordenadas de todos los puntos dentro de cada cluster. En este caso, el centro de C1 es (3,3), el de C2 es (4,4) y el de C3 es (6,6).",1,MMLU_college_computer_science
"Un conjunto de operadores booleanos que sea suficiente para representar todas las expresiones booleanas se dice que es completo. ¿Cuál de los siguientes NO es completo?
A) A) {Y, NO}
B) B) {NO, O}
C) C) {Y, O}
D) D) {NAND}","Respuesta: C - La opción C, {Y, O}, no es completa porque no se puede expresar una negación (NO) utilizando únicamente operadores AND y OR.  Un conjunto completo debe poder representar todas las funciones booleanas, incluyendo la negación.",1,MMLU_college_computer_science
"Consideremos el conjunto de todos los grafos no dirigidos con 10 nodos y 6 aristas. Sean M y m, respectivamente, el número máximo y mínimo de componentes conexos en cualquier grafo del conjunto. Si un grafo no tiene autobucles y hay a lo sumo un borde entre cada par de nodos, ¿cuál de las siguientes opciones es verdadera?
A) M = 10, m = 10
B) M = 10, m = 1
C) M = 7, m = 4
D) M = 6, m = 4","Respuesta: C - La opción C es correcta porque en un grafo sin autobucles y con a lo sumo un borde entre cada par de nodos, el máximo número de componentes conexos (M) se da cuando los nodos están completamente desconectados, lo que resulta en 10 componentes. El mínimo (m) se da cuando todos los nodos están conectados, formando un solo componente.  Con 6 aristas, no es posible conectar a todos los nodos.",1,MMLU_college_computer_science
"El teorema de resolución para demostrar que una fórmula de lógica proposicional no es satisfacible tiene cuáles de las siguientes propiedades?
A) I únicamente
B) III únicamente
C) I y II únicamente
D) I y III únicamente","Respuesta: C - La opción C es correcta porque el teorema de resolución es un sistema completo (II) en el sentido de que existe una prueba de insatisfacibilidad para cada fórmula proposicional no satisfacible, y es un sistema sólido (I) ya que no existe una prueba de insatisfacibilidad para una fórmula satisfacible.",1,MMLU_college_computer_science
"¿Cuáles de las siguientes afirmaciones describen propiedades de un sistema de memoria puramente segmentado?
A) Solo I
B) Solo II
C) Solo III
D) I y III",Respuesta: B - La opción B es correcta porque un sistema de memoria segmentado no permite la implementación de memoria virtual. La división de la memoria en segmentos fijos no facilita el mapeo dinámico de direcciones virtuales a físicas como lo haría una arquitectura de paginación.,1,MMLU_college_computer_science
"¿Cuál de las siguientes afirmaciones sobre el cálculo con coma flotante NO es verdadera?
A) Es inherentemente no asociativo porque algunos números no tienen una representación exacta.
B) Es inherentemente no asociativo porque tiene que haber límites superiores e inferiores en el tamaño de los números.
C) Se puede lograr la asociatividad con convenciones apropiadas de redondeo.
D) Algunos números racionales no tienen una representación exacta.","Respuesta: C - La opción C es correcta porque, aunque el cálculo con coma flotante tiene limitaciones inherentes debido a la aproximación numérica, se pueden emplear convenciones de redondeo específicas para lograr un comportamiento asociativo en operaciones como suma y multiplicación. ",1,MMLU_college_computer_science
"Supongamos que el compartir de archivos en una estructura jerárquica multinivel se logra con entradas de directorio que son enlaces que apuntan a un nodo que contiene información sobre un archivo compartido. La información en este nodo incluye (1) el propietario del archivo, (2) una cuenta del número de enlaces al archivo y (3) los números de bloque de disco del archivo. ¿Cuál es una desventaja principal de este enfoque para compartir?
A) Si el propietario modifica el archivo, otro usuario que no lo comparta verá los cambios.
B) Si el propietario renombra el archivo, otros usuarios no podrán acceder a él.
C) Si se permite al propietario eliminar un archivo, pueden resultar enlaces colgantes.
D) Si cualquier usuario que comparte el archivo lo agrega, otros que lo comparten no podrán acceder a los nuevos bloques de disco.","Respuesta: C - La opción C es correcta porque si se permite al propietario eliminar un archivo, se pueden crear enlaces colgantes. Un enlace colgante es un enlace que apunta a un recurso que ya no existe, lo cual puede generar inconsistencias en el sistema de archivos.",1,MMLU_college_computer_science
